10.0.2.16;45.57.16.139;51766;443;1;0x00000303;60138,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;31354,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,2570,21;occ-0-1490-1489.1.nflxso.net;0x00003a3a,0x0000001d,0x00000017,0x00000018;0
45.57.16.139;10.0.2.16;443;51760;2;0x00000303;4865;43,51;;;
45.57.16.139;10.0.2.16;443;51762;2;0x00000303;4865;43,51;;;
45.57.16.139;10.0.2.16;443;51764;2;0x00000303;4865;43,51;;;
45.57.16.139;10.0.2.16;443;51766;2;0x00000303;4865;43,51;;;
10.0.2.16;45.57.17.144;38232;443;1;0x00000303;60138,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;31354,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,10794,21;ipv4-c035-vie001-ix.1.oca.nflxvideo.net;0x00005a5a,0x0000001d,0x00000017,0x00000018;0
10.0.2.16;45.57.17.152;58494;443;1;0x00000303;47802,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;14906,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,10794,21;ipv4-c046-vie001-ix.1.oca.nflxvideo.net;0x00006a6a,0x0000001d,0x00000017,0x00000018;0
10.0.2.16;45.57.17.135;52972;443;1;0x00000303;10794,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;23130,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,2570,21;ipv4-c013-vie001-ix.1.oca.nflxvideo.net;0x00002a2a,0x0000001d,0x00000017,0x00000018;0
45.57.17.144;10.0.2.16;443;38232;2;0x00000303;4865;43,51;;;
45.57.17.152;10.0.2.16;443;58494;2;0x00000303;4865;43,51;;;
45.57.17.135;10.0.2.16;443;52972;2;0x00000303;4865;43,51;;;
10.0.2.16;45.57.17.132;51736;443;1;0x00000303;14906,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;31354,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,6682,21;ipv4-c006-vie001-ix.1.oca.nflxvideo.net;0x00003a3a,0x0000001d,0x00000017,0x00000018;0
45.57.17.132;10.0.2.16;443;51736;2;0x00000303;4865;43,51;;;
10.0.2.16;45.57.16.155;59458;443;1;0x00000303;51914,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;35466,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,31354,21;ipv4-c049-vie001-ix.1.oca.nflxvideo.net;0x0000fafa,0x0000001d,0x00000017,0x00000018;0
10.0.2.16;45.57.16.155;59460;443;1;0x00000303;19018,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;43690,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,23130,21;ipv4-c049-vie001-ix.1.oca.nflxvideo.net;0x00009a9a,0x0000001d,0x00000017,0x00000018;0
45.57.16.155;10.0.2.16;443;59458;2;0x00000303;4865;43,51;;;
10.0.2.16;45.57.16.134;34468;443;1;0x00000303;51914,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;10794,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,27242,21;ipv4-c008-vie001-ix.1.oca.nflxvideo.net;0x0000aaaa,0x0000001d,0x00000017,0x00000018;0
45.57.16.155;10.0.2.16;443;59460;2;0x00000303;4865;43,51;;;
45.57.16.134;10.0.2.16;443;34468;2;0x00000303;4865;43,51;;;
10.0.2.16;45.57.74.180;55732;443;1;0x00000303;27242,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;19018,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,64250,21;ipv4-c089-fra002-ix.1.oca.nflxvideo.net;0x0000fafa,0x0000001d,0x00000017,0x00000018;0
10.0.2.16;45.57.74.180;55734;443;1;0x00000303;51914,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;39578,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,60138,21;ipv4-c089-fra002-ix.1.oca.nflxvideo.net;0x0000dada,0x0000001d,0x00000017,0x00000018;0
